,name,rating,reviews,type,hq,old,employees
1396,Concentrix Daksh Service...,4.0,6.2k Reviews,New Delhi + 35 more,21 years old,10000+ employees,
1397,Vodafone,4.3,5.9k Reviews,Public,Berkshire + 366 more,38 years old,10000+ employees
1398,HDB Financial Services,4.0,5.5k Reviews,Private,Ahmedabad + 433 more,13 years old,10000+ employees
1399,Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi + 339 more,25 years old,10000+ employees
1400,Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai + 344 more,17 years old,10000+ employees
1401,Amazon,4.2,4.8k Reviews,Private,Washington + 156 more,26 years old,10000+ employees
1402,Reliance,4.2,4.6k Reviews,Public,Mumbai + 206 more,54 years old,10000+ employees
1403,Hinduja Global Solutions,3.9,4.1k Reviews,Public,Bangalore + 73 more,20 years old,10000+ employees
1404,Bajaj Finserv,4.1,3.8k Reviews,Public,Pune + 450 more,13 years old,10000+ employees
1405,IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai + 354 more,26 years old,10000+ employees
1406,Samsung,4.2,3.5k Reviews,Private,Seoul + 286 more,82 years old,10000+ employees
1407,Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi + 192 more,125 years old,10000+ employees
1408,Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai + 275 more,75 years old,10000+ employees
1409,Ericsson,4.1,3.1k Reviews,Private,Stockholm + 110 more,144 years old,10000+ employees
1410,TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
1411,Accenture,4.0,14.1k Reviews,Private,Dublin + 87 more,31 years old,10000+ employees
1412,ICICI Bank,4.1,12.7k Reviews,Public,Mumbai + 724 more,26 years old,10000+ employees
1413,Cognizant,3.9,12.1k Reviews,Private,Teaneck + 44 more,26 years old,10000+ employees
1414,HDFC Bank,4.0,10.8k Reviews,Public,Mumbai + 689 more,26 years old,10000+ employees
1415,Infosys,3.9,10.8k Reviews,Public,Bangalore + 64 more,39 years old,10000+ employees
1416,L&T,4.1,10.2k Reviews,Public,Mumbai + 333 more,82 years old,10000+ employees
1417,Capgemini,3.3,9.6k Reviews,Private,Paris + 42 more,53 years old,10000+ employees
1418,Tech Mahindra,3.5,9.1k Reviews,Public,Pune + 138 more,34 years old,10000+ employees
1419,HCL Technologies,3.7,8.7k Reviews,Public,Noida + 106 more,14 years old,10000+ employees
1420,Tata Motors,4.1,8.3k Reviews,Public,Pune + 336 more,75 years old,10000+ employees
1421,IBM,4.0,8.2k Reviews,Private,New York + 69 more,109 years old,10000+ employees
1422,Reliance jio,4.0,7.9k Reviews,Public,Navi Mumbai + 587 more,10 years old,10000+ employees
1423,Genpact,4.0,7.6k Reviews,Private,New York + 31 more,23 years old,10000+ employees
1424,Axis Bank,4.0,7.6k Reviews,Public,Mumbai + 642 more,27 years old,10000+ employees
1425,Wipro,3.8,6.5k Reviews,Public,Bangalore + 115 more,75 years old,10000+ employees
1426,Concentrix Daksh Service...,4.0,6.2k Reviews,New Delhi + 35 more,21 years old,10000+ employees,
1427,Vodafone,4.3,5.9k Reviews,Public,Berkshire + 366 more,38 years old,10000+ employees
1428,HDB Financial Services,4.0,5.5k Reviews,Private,Ahmedabad + 433 more,13 years old,10000+ employees
1429,Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi + 339 more,25 years old,10000+ employees
1430,Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai + 344 more,17 years old,10000+ employees
1431,Amazon,4.2,4.8k Reviews,Private,Washington + 156 more,26 years old,10000+ employees
1432,Reliance,4.2,4.6k Reviews,Public,Mumbai + 206 more,54 years old,10000+ employees
1433,Hinduja Global Solutions,3.9,4.1k Reviews,Public,Bangalore + 73 more,20 years old,10000+ employees
1434,Bajaj Finserv,4.1,3.8k Reviews,Public,Pune + 450 more,13 years old,10000+ employees
1435,IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai + 354 more,26 years old,10000+ employees
1436,Samsung,4.2,3.5k Reviews,Private,Seoul + 286 more,82 years old,10000+ employees
1437,Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi + 192 more,125 years old,10000+ employees
1438,Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai + 275 more,75 years old,10000+ employees
1439,Ericsson,4.1,3.1k Reviews,Private,Stockholm + 110 more,144 years old,10000+ employees
1440,TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
1441,Accenture,4.0,14.1k Reviews,Private,Dublin + 87 more,31 years old,10000+ employees
1442,ICICI Bank,4.1,12.7k Reviews,Public,Mumbai + 724 more,26 years old,10000+ employees
1443,Cognizant,3.9,12.1k Reviews,Private,Teaneck + 44 more,26 years old,10000+ employees
1444,HDFC Bank,4.0,10.8k Reviews,Public,Mumbai + 689 more,26 years old,10000+ employees
1445,Infosys,3.9,10.8k Reviews,Public,Bangalore + 64 more,39 years old,10000+ employees
1446,L&T,4.1,10.2k Reviews,Public,Mumbai + 333 more,82 years old,10000+ employees
1447,Capgemini,3.3,9.6k Reviews,Private,Paris + 42 more,53 years old,10000+ employees
1448,Tech Mahindra,3.5,9.1k Reviews,Public,Pune + 138 more,34 years old,10000+ employees
1449,HCL Technologies,3.7,8.7k Reviews,Public,Noida + 106 more,14 years old,10000+ employees
1450,Tata Motors,4.1,8.3k Reviews,Public,Pune + 336 more,75 years old,10000+ employees
1451,IBM,4.0,8.2k Reviews,Private,New York + 69 more,109 years old,10000+ employees
1452,Reliance jio,4.0,7.9k Reviews,Public,Navi Mumbai + 587 more,10 years old,10000+ employees
1453,Genpact,4.0,7.6k Reviews,Private,New York + 31 more,23 years old,10000+ employees
1454,Axis Bank,4.0,7.6k Reviews,Public,Mumbai + 642 more,27 years old,10000+ employees
1455,Wipro,3.8,6.5k Reviews,Public,Bangalore + 115 more,75 years old,10000+ employees
1456,Concentrix Daksh Service...,4.0,6.2k Reviews,New Delhi + 35 more,21 years old,10000+ employees,
1457,Vodafone,4.3,5.9k Reviews,Public,Berkshire + 366 more,38 years old,10000+ employees
